Date,Open,High,Low,Close,Volume
2024-05-20 08:08:00,5.08,5.08,5.08,5.08,569
2024-05-20 08:12:00,5.08,5.08,5.08,5.08,300
2024-05-20 08:24:00,5.07,5.07,5.07,5.07,100
2024-05-20 08:32:00,5.08,5.08,5.08,5.08,275
2024-05-20 08:37:00,5.09,5.09,5.09,5.09,105
2024-05-20 08:39:00,5.09,5.09,5.09,5.09,210
2024-05-20 08:42:00,5.09,5.09,5.09,5.09,200
2024-05-20 09:06:00,5.07,5.07,5.07,5.07,1874
2024-05-20 09:15:00,5.06,5.06,5.06,5.06,256
2024-05-20 09:25:00,5.07,5.07,5.07,5.07,373
2024-05-20 09:29:00,5.08,5.08,5.08,5.08,500
2024-05-20 09:31:00,5.08,5.08,5.08,5.08,1300
2024-05-20 09:36:00,5.07,5.07,5.07,5.07,101
2024-05-20 09:55:00,5.07,5.07,5.07,5.07,325
2024-05-20 10:04:00,5.07,5.07,5.07,5.07,200
2024-05-20 10:06:00,5.09,5.09,5.09,5.09,900
2024-05-20 10:26:00,5.1,5.1,5.1,5.1,339
2024-05-20 10:30:00,5.08,5.08,5.08,5.08,743
2024-05-20 10:31:00,5.08,5.08,5.08,5.08,601
2024-05-20 10:32:00,5.08,5.08,5.08,5.08,200
2024-05-20 10:33:00,5.08,5.08,5.08,5.08,101
2024-05-20 10:34:00,5.08,5.09,5.08,5.09,537
2024-05-20 10:40:00,5.09,5.09,5.09,5.09,189
2024-05-20 10:43:00,5.08,5.08,5.08,5.08,250
2024-05-20 10:45:00,5.08,5.08,5.08,5.08,215
2024-05-20 10:50:00,5.07,5.07,5.07,5.07,570
2024-05-20 10:54:00,5.07,5.07,5.07,5.07,537
2024-05-20 11:10:00,5.07,5.07,5.07,5.07,365
2024-05-20 11:13:00,5.06,5.06,5.06,5.06,1142
2024-05-20 11:17:00,5.06,5.06,5.06,5.06,200
2024-05-20 11:23:00,5.05,5.05,5.05,5.05,395
2024-05-20 11:34:00,5.05,5.05,5.05,5.05,178
2024-05-20 11:35:00,5.05,5.05,5.05,5.05,172
2024-05-20 11:37:00,5.05,5.05,5.05,5.05,312
2024-05-20 11:53:00,5.06,5.06,5.06,5.06,852
2024-05-20 12:00:00,5.06,5.0882,5.0401,5.0612,16109
2024-05-20 12:01:00,5.07,5.07,5.07,5.07,427
2024-05-20 12:03:00,5.07,5.08,5.06,5.07,1629
2024-05-20 12:04:00,5.08,5.08,5.07,5.07,778
2024-05-20 12:05:00,5.07,5.07,5.07,5.07,659
2024-05-20 12:06:00,5.08,5.08,5.07,5.07,892
2024-05-20 12:07:00,5.07,5.08,5.07,5.08,1418
2024-05-20 12:10:00,5.07,5.07,5.07,5.07,233
2024-05-20 12:14:00,5.06,5.06,5.06,5.06,770
2024-05-20 12:26:00,5.05,5.05,5.05,5.05,509
2024-05-20 12:27:00,5.06,5.06,5.06,5.06,278
2024-05-20 12:32:00,5.065,5.07,5.065,5.07,1034
2024-05-20 12:37:00,5.06,5.06,5.06,5.06,707
2024-05-20 12:39:00,5.06,5.06,5.06,5.06,136
2024-05-20 12:40:00,5.06,5.06,5.06,5.06,3261
2024-05-20 12:41:00,5.0682,5.0682,5.0682,5.0682,109
2024-05-20 12:42:00,5.06,5.06,5.06,5.06,395
2024-05-20 12:43:00,5.06,5.06,5.06,5.06,357
2024-05-20 12:52:00,5.05,5.0588,5.05,5.0588,205
2024-05-20 12:54:00,5.05,5.05,5.05,5.05,400
2024-05-20 12:58:00,5.0588,5.0589,5.0588,5.0589,1191
2024-05-20 13:01:00,5.05,5.05,5.05,5.05,506
2024-05-20 13:20:00,5.05,5.05,5.05,5.05,2231
2024-05-20 13:23:00,5.06,5.06,5.05,5.05,887
2024-05-20 13:28:00,5.05,5.06,5.05,5.06,1676
2024-05-20 13:30:00,5.03,5.05,5.03,5.0415,93614
2024-05-20 13:31:00,5.055,5.115,5.055,5.1,69457
2024-05-20 13:32:00,5.1,5.1154,5.0975,5.11,27723
2024-05-20 13:33:00,5.1,5.105,5.08,5.1,25514
2024-05-20 13:34:00,5.1,5.1,5.0712,5.08,14866
2024-05-20 13:35:00,5.0712,5.08,5.07,5.07,15328
2024-05-20 13:36:00,5.07,5.07,5.04,5.045,30885
2024-05-20 13:37:00,5.05,5.05,5.04,5.045,7506
2024-05-20 13:38:00,5.042,5.06,5.04,5.055,30434
2024-05-20 13:39:00,5.0571,5.06,5.045,5.045,6709
2024-05-20 13:40:00,5.045,5.05,5.03,5.04,25446
2024-05-20 13:41:00,5.04,5.06,5.04,5.055,61061
2024-05-20 13:42:00,5.055,5.0698,5.05,5.0698,14714
2024-05-20 13:43:00,5.065,5.07,5.065,5.065,4836
2024-05-20 13:44:00,5.06,5.06,5.04,5.05,11447
2024-05-20 13:45:00,5.0401,5.055,5.0401,5.045,9643
2024-05-20 13:46:00,5.045,5.05,5.035,5.05,13593
2024-05-20 13:47:00,5.045,5.055,5.045,5.055,5297
2024-05-20 13:48:00,5.055,5.055,5.04,5.05,13610
2024-05-20 13:49:00,5.05,5.055,5.05,5.055,10734
2024-05-20 13:50:00,5.06,5.06,5.0501,5.055,3198
2024-05-20 13:51:00,5.0533,5.06,5.0533,5.055,1527
2024-05-20 13:52:00,5.055,5.06,5.04,5.04,38736
2024-05-20 13:53:00,5.045,5.05,5.04,5.045,3569
2024-05-20 13:54:00,5.04,5.045,5.04,5.045,1304
2024-05-20 13:55:00,5.045,5.0499,5.045,5.0499,3513
2024-05-20 13:56:00,5.04,5.05,5.04,5.045,8938
2024-05-20 13:57:00,5.04,5.055,5.04,5.05,146772
2024-05-20 13:58:00,5.045,5.045,5.04,5.045,3344
2024-05-20 13:59:00,5.0453,5.05,5.04,5.04,5772
2024-05-20 14:00:00,5.045,5.05,5.04,5.045,3908
2024-05-20 14:01:00,5.04,5.0575,5.04,5.055,22953
2024-05-20 14:02:00,5.0575,5.06,5.05,5.06,2522
2024-05-20 14:03:00,5.055,5.06,5.05,5.055,5129
2024-05-20 14:04:00,5.055,5.06,5.045,5.05,53563
2024-05-20 14:05:00,5.045,5.055,5.04,5.05,39588
2024-05-20 14:06:00,5.055,5.07,5.05,5.07,11980
2024-05-20 14:07:00,5.07,5.075,5.06,5.06,30405
2024-05-20 14:08:00,5.0601,5.07,5.0601,5.065,4511
2024-05-20 14:09:00,5.0626,5.07,5.05,5.065,50175
2024-05-20 14:10:00,5.07,5.08,5.07,5.0798,1915
2024-05-20 14:11:00,5.075,5.0797,5.075,5.075,6907
2024-05-20 14:12:00,5.075,5.075,5.05,5.058,17077
2024-05-20 14:13:00,5.055,5.055,5.05,5.05,3632
2024-05-20 14:14:00,5.055,5.06,5.05,5.06,8817
2024-05-20 14:15:00,5.055,5.06,5.05,5.0536,7710
2024-05-20 14:16:00,5.0599,5.06,5.0512,5.06,6812
2024-05-20 14:17:00,5.05,5.055,5.01,5.015,67453
2024-05-20 14:18:00,5.01,5.015,5.0,5.005,19312
2024-05-20 14:19:00,5.0,5.01,4.99,4.99,75767
2024-05-20 14:20:00,4.99,5.01,4.99,5.0,27881
2024-05-20 14:21:00,5.0066,5.0071,5.0,5.005,5638
2024-05-20 14:22:00,5.005,5.01,4.99,5.005,43298
2024-05-20 14:23:00,5.0002,5.005,5.0,5.0,6438
2024-05-20 14:24:00,5.0027,5.01,5.0027,5.01,3415
2024-05-20 14:25:00,5.005,5.005,5.0,5.0001,3225
2024-05-20 14:26:00,5.0,5.0,4.98,4.985,44894
2024-05-20 14:27:00,4.99,5.0,4.985,4.995,15086
2024-05-20 14:28:00,4.9909,5.0,4.9909,4.9958,4666
2024-05-20 14:29:00,5.0,5.01,4.99,5.01,21124
2024-05-20 14:30:00,5.009,5.015,4.995,4.995,20692
2024-05-20 14:31:00,4.9999,5.0,4.9938,5.0,2049
2024-05-20 14:32:00,4.995,5.0,4.99,4.995,3575
2024-05-20 14:33:00,4.995,5.0,4.99,5.0,2565
2024-05-20 14:34:00,4.99,5.0,4.99,4.995,8633
2024-05-20 14:35:00,4.995,5.01,4.995,5.005,11051
2024-05-20 14:36:00,5.0089,5.01,5.0,5.005,4432
2024-05-20 14:37:00,5.005,5.01,5.0,5.005,2131
2024-05-20 14:38:00,5.0,5.01,5.0,5.005,6612
2024-05-20 14:39:00,5.005,5.01,5.0,5.0,3457
2024-05-20 14:40:00,5.01,5.01,5.005,5.005,1728
2024-05-20 14:41:00,5.005,5.005,5.0,5.005,1774
2024-05-20 14:42:00,5.0,5.01,5.0,5.005,3311
2024-05-20 14:43:00,5.0,5.01,5.0,5.005,3304
2024-05-20 14:44:00,5.005,5.01,5.0,5.005,9717
2024-05-20 14:45:00,5.0,5.005,5.0,5.0,5364
2024-05-20 14:46:00,5.0,5.01,4.99,5.005,52487
2024-05-20 14:47:00,5.005,5.02,5.005,5.01,26163
2024-05-20 14:48:00,5.005,5.0088,5.0,5.0,2639
2024-05-20 14:49:00,5.0,5.005,4.995,4.995,13174
2024-05-20 14:50:00,4.995,4.9999,4.9937,4.995,8126
2024-05-20 14:51:00,4.995,5.0,4.995,4.995,3468
2024-05-20 14:52:00,4.995,5.0,4.9936,5.0,5830
2024-05-20 14:53:00,4.995,4.995,4.97,4.98,111248
2024-05-20 14:54:00,4.975,4.98,4.97,4.98,18171
2024-05-20 14:55:00,4.98,4.9956,4.975,4.995,33499
2024-05-20 14:56:00,4.995,4.995,4.98,4.985,14211
2024-05-20 14:57:00,4.985,4.985,4.98,4.985,1089
2024-05-20 14:58:00,4.98,4.985,4.97,4.975,10582
2024-05-20 14:59:00,4.975,4.98,4.97,4.98,4439
2024-05-20 15:00:00,4.9769,4.98,4.97,4.975,27137
2024-05-20 15:01:00,4.975,4.9788,4.97,4.975,5457
2024-05-20 15:02:00,4.975,4.98,4.97,4.975,5558
2024-05-20 15:03:00,4.975,4.98,4.96,4.965,39652
2024-05-20 15:04:00,4.9699,4.97,4.96,4.9688,14121
2024-05-20 15:05:00,4.965,4.97,4.965,4.965,6297
